discipline,parameterCategory,parameterNumber,tag,comment,probabilityType,productDefinitionTemplateNumber,scaleFactorOfFirstFixedSurface,scaleFactorOfLowerLimit,scaleFactorOfSecondFixedSurface,scaledValueOfFirstFixedSurface,scaledValueOfLowerLimit,scaledValueOfSecondFixedSurface,typeOfFirstFixedSurface,typeOfSecondFixedSurface,typeOfStatisticalProcessing,
0,0,0,2t,2 metre temperature,,,,,,,,,103,,,
0,0,0,mn2t6,Minimum temperature at 2 metres since last 6 hours,,,,,,,,,103,,3,
0,0,0,mx2t6,Maximum temperature at 2 metres since last 6 hours,,,,,,,,,103,,2,
0,0,0,t,Temperature,,,,,,,,,,,,
0,0,1,vptmp,Virtual potential temperature,,,,,,,,,,,,
0,0,2,pt,Potential temperature,,,,,,,,,,,,
0,0,3,papt,Pseudo-adiabatic potential temperature,,,,,,,,,,,,
0,0,4,tmax,Maximum temperature,,,,,,,,,,,,
0,0,5,tmin,Minimum temperature,,,,,,,,,,,,
0,0,6,2d,2 metre dewpoint temperature,,,,,,,,,103,,,
0,0,6,dpt,Dew point temperature,,,,,,,,,,,,
0,0,8,lapr,Lapse rate,,,,,,,,,,,,
0,0,9,ta,Temperature anomaly,,,,,,,,,,,,
0,0,10,lhtfl,Latent heat net flux,,,,,,,,,,,,
0,0,10,slhf,Surface latent heat flux,,,,,,,,,1,,1,
0,0,11,shtfl,Sensible heat net flux,,,,,,,,,,,,
0,0,11,sshf,Surface sensible heat flux,,,,,,,,,1,,1,
0,0,12,heatx,Heat index,,,,,,,,,,,,
0,0,13,wcf,Wind chill factor,,,,,,,,,,,,
0,0,14,mindpd,Minimum dew point depression,,,,,,,,,,,,
0,0,16,snohf,Snow phase change heat flux,,,,,,,,,,,,
0,0,17,skt,Skin temperature,,,,,,,,,1,,,
0,1,0,q,Specific humidity,,,,,,,,,,,,
0,1,1,r,Relative humidity,,,,,,,,,,,,
0,1,3,pwat,Precipitable water,,,,,,,,,,,,
0,1,4,vapp,Vapor pressure,,,,,,,,,,,,
0,1,5,satd,Saturation deficit,,,,,,,,,,,,
0,1,7,prate,Precipitation rate,,,,,,,,,,,,
0,1,9,ncpcp,Large scale precipitation (non-convective),,,,,,,,,,,,
0,1,10,acpcp,Convective precipitation (water),,,,,,,,,,,,
0,1,12,srweq,Snowfall rate water equivalent,,,,,,,,,,,,
0,1,13,sdwe,Water equivalent of accumulated snow depth,,,,,,,,,,,,
0,1,14,snoc,Convective snow,,,,,,,,,,,,
0,1,15,snol,Large scale snow,,,,,,,,,,,,
0,1,16,snom,Snow melt,,,,,,,,,,,,
0,1,17,snoag,Snow age,,,,,,,,,,,,
0,1,18,absh,Absolute humidity,,,,,,,,,,,,
0,1,19,ptype,Precipitation type,,,,,,,,,,,,
0,1,20,iliqw,Integrated liquid water,,,,,,,,,,,,
0,1,21,tcond,Condensate,,,,,,,,,,,,
0,1,22,clwmr,Cloud mixing ratio,,,,,,,,,,,,
0,1,23,icmr,Ice water mixing ratio,,,,,,,,,,,,
0,1,24,rwmr,Rain mixing ratio,,,,,,,,,,,,
0,1,25,snmr,Snow mixing ratio,,,,,,,,,,,,
0,1,26,mconv,Horizontal moisture convergence,,,,,,,,,,,,
0,1,27,maxrh,Maximum relative humidity,,,,,,,,,,,,
0,1,28,maxah,Maximum absolute humidity,,,,,,,,,,,,
0,1,29,asnow,Total snowfall,,,,,,,,,,,,
0,1,30,pwcat,Precipitable water category,,,,,,,,,,,,
0,1,31,hail,Hail,,,,,,,,,,,,
0,1,32,grle,Graupel (snow pellets),,,,,,,,,,,,
0,1,33,crain,Categorical rain,,,,,,,,,,,,
0,1,34,cfrzr,Categorical freezing rain,,,,,,,,,,,,
0,1,35,cicep,Categorical ice pellets,,,,,,,,,,,,
0,1,36,csnow,Categorical snow,,,,,,,,,,,,
0,1,37,cprat,Convective precipitation rate,,,,,,,,,,,,
0,1,38,mconv,Horizontal moisture divergence,,,,,,,,,,,,
0,1,39,cpofp,Percent frozen precipitation,,,,,,,,,,,,
0,1,40,pevap,Potential evaporation,,,,,,,,,,,,
0,1,41,pevpr,Potential evaporation rate,,,,,,,,,,,,
0,1,42,snowc,Snow cover,,,,,,,,,,,,
0,1,43,frain,Rain fraction of total cloud water,,,,,,,,,,,,
0,1,44,rime,Rime factor,,,,,,,,,,,,
0,1,45,tcolr,Total column integrated rain,,,,,,,,,,,,
0,1,46,tcols,Total column integrated snow,,,,,,,,,,,,
0,1,47,lsp,large scale precipitation (water),,,,,,,,,,,,
0,1,47,lswp,Large scale water precipitation (non-convective),,,,,,,,,,,,
0,1,48,cwp,Convective water precipitation,,,,,,,,,,,,
0,1,49,twatp,Total water precipitation,,,,,,,,,,,,
0,1,50,tsnowp,Total snow precipitation,,,,,,,,,,,,
0,1,51,tcw,Total column water,,,,,,,,,1,8,,
0,1,51,tcwat,Total column water (Vertically integrated total water (vapour + cloud water/ice)),,,,,,,,,,,,
0,1,52,tp,Total Precipitation,,,,,,,,,1,,1,
0,1,52,tpg10,Total precipitation of at least 10 mm,3,9,,0,,,10,,1,,1,
0,1,52,tpg20,Total precipitation of at least 20 mm,3,9,,0,,,20,,1,,1,
0,1,52,tprate,Total precipitation rate,,,,,,,,,,,,
0,1,53,sf,Snow Fall water equivalent,,,,,,,,,1,,1,
0,1,53,tsrwe,Total snowfall rate water equivalent,,,,,,,,,,,,
0,1,54,lsprate,Large scale precipitation rate,,,,,,,,,,,,
0,1,55,csrwe,Convective snowfall rate water equivalent,,,,,,,,,,,,
0,1,56,lssrwe,Large scale snowfall rate water equivalent,,,,,,,,,,,,
0,1,57,tsrate,Total snowfall rate,,,,,,,,,,,,
0,1,58,csrate,Convective snowfall rate,,,,,,,,,,,,
0,1,59,lssrate,Large scale snowfall rate,,,,,,,,,,,,
0,1,60,sd,Snow depth water equivalent,,,,,,,,,1,,,
0,1,64,tciwv,Total column integrated water vapour,,,,,,,,,,,,
0,1,65,rprate,Rain precipitation rate,,,,,,,,,,,,
0,1,66,sprate,Snow precipitation rate,,,,,,,,,,,,
0,1,67,fprate,Freezing rain precipitation rate,,,,,,,,,,,,
0,1,68,iprate,Ice pellets precipitation rate,,,,,,,,,,,,
0,2,1,10si,10 metre wind speed,,,0,,,10,,,103,,,
0,2,1,ws,Wind speed,,,,,,,,,,,,
0,2,2,10u,10 metre U wind component,,,0,,,10,,,103,,,
0,2,2,u,U component of wind,,,,,,,,,,,,
0,2,3,10v,10 metre V wind component,,,0,,,10,,,103,,,
0,2,3,v,V component of wind,,,,,,,,,,,,
0,2,4,strf,Stream function,,,,,,,,,,,,
0,2,5,vp,Velocity potential,,,,,,,,,,,,
0,2,6,mntsf,Montgomery stream Function,,,,,,,,,,,,
0,2,7,sgcvv,Sigma coordinate vertical velocity,,,,,,,,,,,,
0,2,8,w,Vertical velocity,,,,,,,,,,,,
0,2,10,absv,Absolute vorticity,,,,,,,,,,,,
0,2,11,absd,Absolute divergence,,,,,,,,,,,,
0,2,12,vo,Vorticity (relative),,,,,,,,,,,,
0,2,13,d,Divergence,,,,,,,,,,,,
0,2,14,pv,Potential vorticity,,,,,,,,,,,,
0,2,15,vucsh,Vertical u-component shear,,,,,,,,,,,,
0,2,16,vvcsh,Vertical v-component shear,,,,,,,,,,,,
0,2,17,uflx,Momentum flux, u component,,,,,,,,,,,,
0,2,18,vflx,Momentum flux, v component,,,,,,,,,,,,
0,2,19,wmixe,Wind mixing energy,,,,,,,,,,,,
0,2,20,bld,Boundary layer dissipation,,,,,,,,,,,,
0,2,21,maxgust,Maximum wind speed,,,,,,,,,,,,
0,2,22,10fgg15,10 metre Wind gust of at least 15 m/s,3,9,0,0,,10,15,,103,,2,
0,2,22,10fgg20,10 metre Wind gust of at least 20 m/s,3,9,0,0,,10,25,,103,,2,
0,2,22,gust,Wind speed (gust),,,,,,,,,,,,
0,2,23,ugust,u-component of wind (gust),,,,,,,,,,,,
0,2,24,vgust,v-component of wind (gust),,,,,,,,,,,,
0,2,25,vwsh,Vertical speed shear,,,,,,,,,,,,
0,2,26,mflx,Horizontal momentum flux,,,,,,,,,,,,
0,2,27,ustm,U-component storm motion,,,,,,,,,,,,
0,2,28,vstm,V-component storm motion,,,,,,,,,,,,
0,2,29,cd,Drag coefficient,,,,,,,,,,,,
0,2,30,fricv,Frictional velocity,,,,,,,,,,,,
0,3,0,msl,Mean sea level pressure,,,,,,,,,101,,,
0,3,0,pres,Pressure,,,,,,,,,,,,
0,3,0,sp,Surface pressure,,,,,,,,,1,,,
0,3,1,prmsl,Pressure reduced to MSL,,,,,,,,,,,,
0,3,2,ptend,Pressure tendency,,,,,,,,,,,,
0,3,3,icaht,ICAO Standard Atmosphere reference height,,,,,,,,,,,,
0,3,4,z,Geopotential,,,,,,,,,,,,
0,3,5,gh,Geopotential Height,,,,,,,,,,,,
0,3,5,orog,Orography,,,,,,,,,1,,,
0,3,6,dist,Geometric height,,,,,,,,,,,,
0,3,6,h,Geometrical height,,,,,,,,,,,,
0,3,7,hstdv,Standard deviation of height,,,,,,,,,,,,
0,3,8,presa,Pressure anomaly,,,,,,,,,,,,
0,3,9,gpa,Geopotential height anomaly,,,,,,,,,,,,
0,3,10,den,Density,,,,,,,,,,,,
0,3,11,alts,Altimeter setting,,,,,,,,,,,,
0,3,12,thick,Thickness,,,,,,,,,,,,
0,3,13,presalt,Pressure altitude,,,,,,,,,,,,
0,3,14,denalt,Density altitude,,,,,,,,,,,,
0,3,15,5wavh,5-wave geopotential height,,,,,,,,,,,,
0,3,16,u-gwd,Zonal flux of gravity wave stress,,,,,,,,,,,,
0,3,17,v-gwd,Meridional flux of gravity wave stress,,,,,,,,,,,,
0,3,18,hpbl,Planetary boundary layer height,,,,,,,,,,,,
0,3,19,5wava,5-wave geopotential height anomaly,,,,,,,,,,,,
0,3,20,sdsgso,Standard deviation of sub-grid scale orography,,,,,,,,,,,,
0,4,0,nswrs,Net short-wave radiation flux (surface),,,,,,,,,,,,
0,4,1,nswrt,Net short-wave radiation flux (top of atmosphere),,,,,,,,,,,,
0,4,3,grad,Global radiation flux,,,,,,,,,,,,
0,4,4,btmp,Brightness temperature,,,,,,,,,,,,
0,4,5,lwrad,Radiance (with respect to wave number),,,,,,,,,,,,
0,4,6,swrad,Radiance (with respect to wave length),,,,,,,,,,,,
0,4,7,dswrf,Downward short-wave radiation flux,,,,,,,,,,,,
0,4,8,uswrf,Upward short-wave radiation flux,,,,,,,,,,,,
0,4,9,nswrf,Net short wave radiation flux,,,,,,,,,,,,
0,4,9,ssr,Surface solar radiation,,,,,,,,,1,,1,
0,4,10,photar,Photosynthetically active radiation,,,,,,,,,,,,
0,4,11,nswrfcs,Net short-wave radiation flux, clear sky,,,,,,,,,,,,
0,4,12,dwuvr,Downward UV radiation,,,,,,,,,,,,
0,4,50,uviucs,UV index (under clear sky),,,,,,,,,,,,
0,4,51,uvi,UV index,,,,,,,,,,,,
0,5,0,nlwrs,Net long wave radiation flux (surface),,,,,,,,,,,,
0,5,1,nlwrt,Net long wave radiation flux (top of atmosphere),,,,,,,,,,,,
0,5,3,dlwrf,Downward long-wave radiation flux,,,,,,,,,,,,
0,5,4,ulwrf,Upward long-wave radiation flux,,,,,,,,,,,,
0,5,5,nlwrf,Net long wave radiation flux,,,,,,,,,,,,
0,5,5,str,Surface thermal radiation,,,,,,,,,1,,1,
0,5,5,ttr,Top thermal radiation,,,,,,,,,8,,1,
0,5,6,nlwrcs,Net long-wave radiation flux, clear sky,,,,,,,,,,,,
0,6,0,cice,Cloud Ice,,,,,,,,,,,,
0,6,1,tcc,Total Cloud Cover,,,,,,,,,1,8,,
0,6,6,cwat,Cloud water,,,,,,,,,,,,
0,6,7,cdca,Cloud amount,,,,,,,,,,,,
0,6,8,cdct,Cloud type,,,,,,,,,,,,
0,6,9,tmaxt,Thunderstorm maximum tops,,,,,,,,,,,,
0,6,10,thunc,Thunderstorm coverage,,,,,,,,,,,,
0,6,11,cdcb,Cloud base,,,,,,,,,,,,
0,6,12,cdct,Cloud top,,,,,,,,,,,,
0,6,13,ceil,Ceiling,,,,,,,,,,,,
0,6,14,cdlyr,Non-convective cloud cover,,,,,,,,,,,,
0,6,15,cwork,Cloud work function,,,,,,,,,,,,
0,6,16,cuefi,Convective cloud efficiency,,,,,,,,,,,,
0,6,17,tcond,Total condensate,,,,,,,,,,,,
0,6,18,tcolw,Total column-integrated cloud water,,,,,,,,,,,,
0,6,19,tcoli,Total column-integrated cloud ice,,,,,,,,,,,,
0,6,20,tcolc,Total column-integrated condensate,,,,,,,,,,,,
0,6,21,fice,Ice fraction of total condensate,,,,,,,,,,,,
0,6,23,cdcimr,Cloud ice mixing ratio,,,,,,,,,,,,
0,6,24,sund,Sunshine duration,,,,,,,,,1,,1,
0,6,24,suns,Sunshine,,,,,,,,,,,,
0,6,25,,Horizontal extent of cumulonimbus (CB),,,,,,,,,,,,
0,7,0,pli,Parcel lifted index (to 500 hPa),,,,,,,,,,,,
0,7,1,bli,Best lifted index (to 500 hPa),,,,,,,,,,,,
0,7,2,kx,K index,,,,,,,,,,,,
0,7,3,kox,KO index,,,,,,,,,,,,
0,7,4,totalx,Total totals index,,,,,,,,,,,,
0,7,5,sx,Sweat index,,,,,,,,,,,,
0,7,6,cape,Convective available potential energy,,,,,,,,,1,8,,
0,7,7,cin,Convective inhibition,,,,,,,,,1,8,,
0,7,8,hlcy,Storm relative helicity,,,,,,,,,,,,
0,7,9,ehlx,Energy helicity index,,,,,,,,,,,,
0,7,10,lftx,Surface lifted index,,,,,,,,,,,,
0,7,11,4lftx,Best (4-layer) lifted index,,,,,,,,,,,,
0,13,0,aerot,Aerosol type,,,,,,,,,,,,
0,14,0,tozne,Total ozone,,,,,,,,,,,,
0,14,2,tcioz,Total column integrated ozone,,,,,,,,,,,,
0,15,0,bswid,Base spectrum width,,,,,,,,,,,,
0,15,1,bref,Base reflectivity,,,,,,,,,,,,
0,15,2,brvel,Base radial velocity,,,,,,,,,,,,
0,15,3,veril,Vertically-integrated liquid,,,,,,,,,,,,
0,15,4,lmaxbr,Layer-maximum base reflectivity,,,,,,,,,,,,
0,15,5,prec,Precipitation,,,,,,,,,,,,
0,15,6,rdsp1,Radar spectra (1),,,,,,,,,,,,
0,15,7,rdsp2,Radar spectra (2),,,,,,,,,,,,
0,15,8,rdsp3,Radar spectra (3),,,,,,,,,,,,
0,18,0,acces,Air concentration of Caesium 137,,,,,,,,,,,,
0,18,1,aciod,Air concentration of Iodine 131,,,,,,,,,,,,
0,18,2,acradp,Air concentration of radioactive pollutant,,,,,,,,,,,,
0,18,3,gdces,Ground deposition of Caesium 137,,,,,,,,,,,,
0,18,4,gdiod,Ground deposition of Iodine 131,,,,,,,,,,,,
0,18,5,gdradp,Ground deposition of radioactive pollutant,,,,,,,,,,,,
0,18,6,tiaccp,Time-integrated air concentration of caesium pollutant,,,,,,,,,,,,
0,18,7,tiacip,Time-integrated air concentration of iodine pollutant,,,,,,,,,,,,
0,18,8,tiacrp,Time-integrated air concentration of radioactive pollutant,,,,,,,,,,,,
0,19,0,vis,Visibility,,,,,,,,,,,,
0,19,1,al,Albedo,,,,,,,,,,,,
0,19,2,tstm,Thunderstorm probability,,,,,,,,,,,,
0,19,3,mld,Mixed layer depth,,,,,,,,,,,,
0,19,4,volash,Volcanic ash,,,,,,,,,,,,
0,19,5,icit,Icing top,,,,,,,,,,,,
0,19,6,icib,Icing base,,,,,,,,,,,,
0,19,7,ici,Icing,,,,,,,,,,,,
0,19,8,turbt,Turbulence top,,,,,,,,,,,,
0,19,9,turbb,Turbulence base,,,,,,,,,,,,
0,19,10,turb,Turbulence,,,,,,,,,,,,
0,19,11,tke,Turbulent kinetic energy,,,,,,,,,,,,
0,19,12,pblreg,Planetary boundary layer regime,,,,,,,,,,,,
0,19,13,conti,Contrail intensity,,,,,,,,,,,,
0,19,14,contet,Contrail engine type,,,,,,,,,,,,
0,19,15,contt,Contrail top,,,,,,,,,,,,
0,19,16,contb,Contrail base,,,,,,,,,,,,
0,19,17,mxsalb,Maximum snow albedo,,,,,,,,,,,,
0,19,18,snfalb,Snow free albedo,,,,,,,,,,,,
0,19,20,,Icing,,,,,,,,,,,,
0,19,21,,In-cloud turbulence,,,,,,,,,,,,
0,19,22,cat,Clear air turbulence (CAT),,,,,,,,,,,,
0,19,23,,Supercooled large droplet probability (see Note 4),,,,,,,,,,,,
0,190,0,var190m0,Arbitrary text string,,,,,,,,,,,,
0,191,0,tsec,Seconds prior to initial reference time (defined in Section 1),,,,,,,,,,,,
1,0,0,ffldg,Flash flood guidance (Encoded as an accumulation over a floating subinterval of time between the ref,,,,,,,,,,,,
1,0,1,ffldro,Flash flood runoff (Encoded as an accumulation over a floating subinterval of time),,,,,,,,,,,,
1,0,2,rssc,Remotely sensed snow cover,,,,,,,,,,,,
1,0,3,esct,Elevation of snow covered terrain,,,,,,,,,,,,
1,0,4,swepon,Snow water equivalent percent of normal,,,,,,,,,,,,
1,0,5,bgrun,Baseflow-groundwater runoff,,,,,,,,,,,,
1,0,6,ssrun,Storm surface runoff,,,,,,,,,,,,
1,1,0,cppop,Conditional percent precipitation amount fractile for an overall period (Encoded as an accumulation),,,,,,,,,,,,
1,1,1,pposp,Percent precipitation in a sub-period of an overall period (Encoded as per cent accumulation over th,,,,,,,,,,,,
1,1,2,pop,Probability of 0.01 inch of precipitation (POP),,,,,,,,,,,,
2,0,0,land,Land cover (1=land, 0=sea),,,,,,,,,,,,
2,0,0,lsm,Land-sea mask,,,,,,,,,1,,,
2,0,1,sr,Surface roughness,,,,,,,,,,,,
2,0,2,st,Soil Temperature,,,0,,1,0,,2,106,106,,
2,0,3,ssw,Soil moisture content,,,,,,,,,,,,
2,0,4,veg,Vegetation,,,,,,,,,,,,
2,0,5,watr,Water runoff,,,,,,,,,,,,
2,0,6,evapt,Evapotranspiration,,,,,,,,,,,,
2,0,7,mterh,Model terrain height,,,,,,,,,,,,
2,0,8,landu,Land use,,,,,,,,,,,,
2,0,9,soilw,Volumetric soil moisture content,,,,,,,,,,,,
2,0,10,gflux,Ground heat flux,,,,,,,,,,,,
2,0,11,mstav,Moisture availability,,,,,,,,,,,,
2,0,12,sfexc,Exchange coefficient,,,,,,,,,,,,
2,0,13,cnwat,Plant canopy surface water,,,,,,,,,,,,
2,0,14,bmixl,Blackadar mixing length scale,,,,,,,,,,,,
2,0,15,ccond,Canopy conductance,,,,,,,,,,,,
2,0,16,rsmin,Minimal stomatal resistance,,,,,,,,,,,,
2,0,18,rcs,Solar parameter in canopy conductance,,,,,,,,,,,,
2,0,19,rct,Temperature parameter in canopy conductance,,,,,,,,,,,,
2,0,20,rcsol,Soil moisture parameter in canopy conductance,,,,,,,,,,,,
2,0,21,rcq,Humidity parameter in canopy conductance,,,,,,,,,,,,
2,0,22,sm,Soil Moisture,,,0,,1,0,,2,106,106,,
2,0,23,cisoilw,Column-integrated soil water,,,,,,,,,,,,
2,0,24,hflux,Heat flux,,,,,,,,,,,,
2,0,25,vsw,Volumetric soil moisture,,,,,,,,,,,,
2,0,26,wilt,Wilting point,,,0,,1,0,,2,106,106,,
2,0,27,vwiltm,Volumetric wilting point,,,,,,,,,,,,
2,3,1,uplst,Upper layer soil temperature,,,,,,,,,,,,
2,3,2,uplsm,Upper layer soil moisture,,,,,,,,,,,,
2,3,3,lowlsm,Lower layer soil moisture,,,,,,,,,,,,
2,3,4,botlst,Bottom layer soil temperature,,,,,,,,,,,,
2,3,5,soill,Liquid volumetric soil moisture (non-frozen),,,,,,,,,,,,
2,3,6,rlyrs,Number of soil layers in root zone,,,,,,,,,,,,
2,3,7,smref,Transpiration stress-onset (soil moisture),,,,,,,,,,,,
2,3,8,smdry,Direct evaporation cease (soil moisture),,,,,,,,,,,,
2,3,9,poros,Soil porosity,,,,,,,,,,,,
2,3,10,liqvsm,Liquid volumetric soil moisture (non-frozen),,,,,,,,,,,,
2,3,11,voltso,Volumetric transpiration stress-onset (soil moisture),,,,,,,,,,,,
2,3,12,cap,Field capacity,,,0,,1,0,,2,106,106,,
2,3,12,transo,Transpiration stress-onset (soil moisture),,,,,,,,,,,,
2,3,13,voldec,Volumetric direct evaporation cease (soil moisture),,,,,,,,,,,,
2,3,14,direc,Direct evaporation cease (soil moisture),,,,,,,,,,,,
2,3,15,soilp,Soil porosity,,,,,,,,,,,,
2,3,16,vsosm,Volumetric saturation of soil moisture,,,,,,,,,,,,
2,3,17,satosm,Saturation of soil moisture,,,,,,,,,,,,
3,1,0,estp,Estimated precipitation,,,,,,,,,,,,
3,1,1,irrate,Instantaneous rain rate,,,,,,,,,,,,
3,1,2,ctoph,Cloud top height,,,,,,,,,,,,
3,1,3,ctophqi,Cloud top height quality indicator,,,,,,,,,,,,
3,1,4,estu,Estimated u component of wind,,,,,,,,,,,,
3,1,5,estv,Estimated v component of wind,,,,,,,,,,,,
3,1,6,npixu,Number of pixels used,,,,,,,,,,,,
3,1,7,solza,Solar zenith angle,,,,,,,,,,,,
3,1,8,raza,Relative azimuth angle,,,,,,,,,,,,
3,1,9,rfl06,Reflectance in 0.6 micron channel,,,,,,,,,,,,
3,1,10,rfl08,Reflectance in 0.8 micron channel,,,,,,,,,,,,
3,1,11,rfl16,Reflectance in 1.6 micron channel,,,,,,,,,,,,
3,1,12,rfl39,Reflectance in 3.9 micron channel,,,,,,,,,,,,
3,1,13,atmdiv,Atmospheric divergence,,,,,,,,,,,,
10,0,0,wvsp1,Wave spectra (1),,,,,,,,,,,,
10,0,1,wvsp2,Wave spectra (2),,,,,,,,,,,,
10,0,2,wvsp3,Wave spectra (3),,,,,,,,,,,,
10,0,4,wvdir,Direction of wind waves,,,,,,,,,,,,
10,0,5,shww,Significant height of wind waves,,,,,,,,,,,,
10,0,6,mpww,Mean period of wind waves,,,,,,,,,,,,
10,0,7,swdir,Direction of swell waves,,,,,,,,,,,,
10,0,8,swell,Significant height of swell waves,,,,,,,,,,,,
10,0,9,swper,Mean period of swell waves,,,,,,,,,,,,
10,0,10,dirpw,Primary wave direction,,,,,,,,,,,,
10,0,11,perpw,Primary wave mean period,,,,,,,,,,,,
10,0,12,dirsw,Secondary wave direction,,,,,,,,,,,,
10,0,13,persw,Secondary wave mean period,,,,,,,,,,,,
10,1,0,dirc,Current direction,,,,,,,,,,,,
10,1,1,spc,Current speed,,,,,,,,,,,,
10,1,2,ucurr,U-component of current,,,,,,,,,,,,
10,1,3,vcurr,V-component of current,,,,,,,,,,,,
10,2,0,icec,Ice cover,,,,,,,,,,,,
10,2,1,icetk,Ice thickness,,,,,,,,,,,,
10,2,2,diced,Direction of ice drift,,,,,,,,,,,,
10,2,3,siced,Speed of ice drift,,,,,,,,,,,,
10,2,4,uice,U-component of ice drift,,,,,,,,,,,,
10,2,5,vice,V-component of ice drift,,,,,,,,,,,,
10,2,6,iceg,Ice growth rate,,,,,,,,,,,,
10,2,7,iced,Ice divergence,,,,,,,,,,,,
10,2,8,ist,Ice temperature,,,,,,,,,,,,
10,3,0,wtmp,Water temperature,,,,,,,,,,,,
10,3,1,dslm,Deviation of sea level from mean,,,,,,,,,,,,
10,4,0,mthd,Main thermocline depth,,,,,,,,,,,,
10,4,1,mtha,Main thermocline anomaly,,,,,,,,,,,,
10,4,2,tthdp,Transient thermocline depth,,,,,,,,,,,,
10,4,3,s,Salinity,,,,,,,,,,,,
10,191,0,tsec,Seconds prior to initial reference time (defined in Section 1),,,,,,,,,,,,
